"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","187",".find() - get descendant DOM elements of the selector","Traversal","Mon Nov 04 03:16:28 EET 2024","passed","Mon Nov 04 03:16:29 EET 2024","","","",""
"","292",".parentsUntil() - get parent DOM elements from DOM elements until el","Traversal","Mon Nov 04 03:16:32 EET 2024","passed","Mon Nov 04 03:16:32 EET 2024","","","",""
"","181","invokes a callback function with the current subject","Connectors","Mon Nov 04 03:15:01 EET 2024","passed","Mon Nov 04 03:15:01 EET 2024","",".then()","",""
"","205",".closest() - get closest ancestor DOM element","Traversal","Mon Nov 04 03:16:28 EET 2024","passed","Mon Nov 04 03:16:28 EET 2024","","","",""
"","302","cy.tick() - move time in the browser","Spies, Stubs, and Clock","Mon Nov 04 03:16:13 EET 2024","passed","Mon Nov 04 03:16:14 EET 2024","","","",""
"","157",".filter() - get DOM elements that match the selector","Traversal","Mon Nov 04 03:16:28 EET 2024","passed","Mon Nov 04 03:16:28 EET 2024","","","",""
"","114","Control what is printed to the Command Log","Cypress APIs","Mon Nov 04 03:15:16 EET 2024","passed","Mon Nov 04 03:15:16 EET 2024","","Cypress.log","",""
"","31","matches call arguments using Sinon matchers","Spies, Stubs, and Clock","Mon Nov 04 03:16:14 EET 2024","passed","Mon Nov 04 03:16:14 EET 2024","","","",""
"","268",".parents() - get parent DOM elements from DOM elements","Traversal","Mon Nov 04 03:16:31 EET 2024","passed","Mon Nov 04 03:16:32 EET 2024","","","",""
"","712","cy.reload() - reload the page","Navigation","Mon Nov 04 03:15:42 EET 2024","passed","Mon Nov 04 03:15:43 EET 2024","","","",""
"","177",".spread() - spread an array as individual args to callback function","Connectors","Mon Nov 04 03:15:01 EET 2024","passed","Mon Nov 04 03:15:01 EET 2024","","","",""
"","179",".within() - query DOM elements within a specific element","Querying","Mon Nov 04 03:16:04 EET 2024","passed","Mon Nov 04 03:16:04 EET 2024","","","",""
"","140",".its() - get properties on the current subject","Connectors","Mon Nov 04 03:15:01 EET 2024","passed","Mon Nov 04 03:15:01 EET 2024","","","",""
"","1462","cy.screenshot() - take a screenshot","Misc","Mon Nov 04 03:15:34 EET 2024","passed","Mon Nov 04 03:15:36 EET 2024","","Cypress.Screenshot","",""
"","430",".focus() - focus on a DOM element","Actions","Mon Nov 04 03:14:22 EET 2024","passed","Mon Nov 04 03:14:22 EET 2024","","","",""
"","211",".eq() - get a DOM element at a specific index","Traversal","Mon Nov 04 03:16:28 EET 2024","passed","Mon Nov 04 03:16:28 EET 2024","","","",""
"","765","cy.request() - save response in the shared test context","Network Requests","Mon Nov 04 03:15:54 EET 2024","passed","Mon Nov 04 03:15:55 EET 2024","","","",""
"","324","Cypress.$ - call a jQuery method","Utilities","Mon Nov 04 03:16:41 EET 2024","passed","Mon Nov 04 03:16:42 EET 2024","","","",""
"","124","cy.document() - get the document object","Window","Mon Nov 04 03:17:14 EET 2024","passed","Mon Nov 04 03:17:14 EET 2024","","","",""
"","436",".rightclick() - right click on a DOM element","Actions","Mon Nov 04 03:14:29 EET 2024","passed","Mon Nov 04 03:14:29 EET 2024","","","",""
"","153","cy.location() - get window.location","Location","Mon Nov 04 03:15:28 EET 2024","passed","Mon Nov 04 03:15:28 EET 2024","","","",""
"","261",".last() - get last DOM element","Traversal","Mon Nov 04 03:16:29 EET 2024","passed","Mon Nov 04 03:16:29 EET 2024","","","",""
"","2364","cy.scrollTo() - scroll the window or element to a position","Actions","Mon Nov 04 03:14:35 EET 2024","passed","Mon Nov 04 03:14:37 EET 2024","","","",""
"","283",".next() - get next sibling DOM element","Traversal","Mon Nov 04 03:16:29 EET 2024","passed","Mon Nov 04 03:16:30 EET 2024","","","",""
"","253","cy.clearCookies() - clear browser cookies for the current domain","Cookies","Mon Nov 04 03:15:09 EET 2024","passed","Mon Nov 04 03:15:09 EET 2024","","","",""
"","756","Cypress._ - call a lodash method","Utilities","Mon Nov 04 03:16:41 EET 2024","passed","Mon Nov 04 03:16:41 EET 2024","","","",""
"","265",".nextUntil() - get next sibling DOM elements until next el","Traversal","Mon Nov 04 03:16:30 EET 2024","passed","Mon Nov 04 03:16:31 EET 2024","","","",""
"","24","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","Mon Nov 04 03:16:14 EET 2024","passed","Mon Nov 04 03:16:14 EET 2024","","","",""
"","146","yields the returned value to the next command","Connectors","Mon Nov 04 03:15:01 EET 2024","passed","Mon Nov 04 03:15:02 EET 2024","",".then()","",""
"","137","can throw any error","Assertions","Mon Nov 04 03:14:53 EET 2024","passed","Mon Nov 04 03:14:53 EET 2024","","Explicit Assertions","",""
"","516","cy.get() - query DOM elements","Querying","Mon Nov 04 03:16:03 EET 2024","passed","Mon Nov 04 03:16:04 EET 2024","","","",""
